run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-factories-depth2-realstyle-run-1","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","123469300","5712902","117756398","12","23","23","23","22"
"real-factories-depth2-realstyle-run-2","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","124672600","5066299","119606301","12","23","23","23","22"
"real-factories-depth2-realstyle-run-3","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","131870500","6638001","125232499","12","23","23","23","22"
"real-factories-depth2-realstyle-run-4","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","145410900","5276499","140134401","12","23","23","23","22"
"real-factories-depth2-realstyle-run-5","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","120896901","5374198","115522703","12","23","23","23","22"
"real-factories-depth2-realstyle-run-6","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","120926701","5796300","115130401","12","23","23","23","22"
"real-factories-depth2-realstyle-run-7","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","145174600","5610600","139564000","12","23","23","23","22"
"real-factories-depth2-realstyle-run-8","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","127243500","5731096","121512404","12","23","23","23","22"
"real-factories-depth2-realstyle-run-9","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","120876600","5237701","115638899","12","23","23","23","22"
"real-factories-depth2-realstyle-run-10","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","140621199","5449902","135171297","12","23","23","23","22"
"real-factories-depth2-realstyle-run-11","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","123418599","5306798","118111801","12","23","23","23","22"
"real-factories-depth2-realstyle-run-12","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","123635999","5703000","117932999","12","23","23","23","22"
"real-factories-depth2-realstyle-run-13","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","126353100","5854099","120499001","12","23","23","23","22"
"real-factories-depth2-realstyle-run-14","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","133286301","5425001","127861300","12","23","23","23","22"
"real-factories-depth2-realstyle-run-15","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","128219701","5928100","122291601","12","23","23","23","22"
"real-factories-depth2-realstyle-run-16","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","123526600","5429102","118097498","12","23","23","23","22"
"real-factories-depth2-realstyle-run-17","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","128704501","5544602","123159899","12","23","23","23","22"
"real-factories-depth2-realstyle-run-18","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","130729199","5360895","125368304","12","23","23","23","22"
"real-factories-depth2-realstyle-run-19","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","138827300","6585501","132241799","12","23","23","23","22"
"real-factories-depth2-realstyle-run-20","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","135311300","6635199","128676101","12","23","23","23","22"
"real-factories-depth2-realstyle-run-21","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","121885499","5872200","116013299","12","23","23","23","22"
"real-factories-depth2-realstyle-run-22","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","135019200","5285401","129733799","12","23","23","23","22"
"real-factories-depth2-realstyle-run-23","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","136270800","5420298","130850502","12","23","23","23","22"
"real-factories-depth2-realstyle-run-24","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","118914600","4759202","114155398","12","23","23","23","22"
"real-factories-depth2-realstyle-run-25","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","134051701","5764297","128287404","12","23","23","23","22"
"real-factories-depth2-realstyle-run-26","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","123259700","5545998","117713702","12","23","23","23","22"
"real-factories-depth2-realstyle-run-27","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","125680200","5233503","120446697","12","23","23","23","22"
"real-factories-depth2-realstyle-run-28","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","124536999","5544900","118992099","12","23","23","23","22"
"real-factories-depth2-realstyle-run-29","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","126949200","5754199","121195001","12","23","23","23","22"
"real-factories-depth2-realstyle-run-30","real-factories-depth2-realstyle","default","research.RealDispatchBenchmarks.factoriesDepth2RealStyle","127562000","5901598","121660402","12","23","23","23","22"
