run_id,benchmark,search_strategy,method_label,total_elapsed_ns,total_solver_time_ns,engine_time_ns,completed_paths,new_states,state_advanced_events,choice_generators,pc_choice_generators
"real-factories-depth2-branchcontrol-run-1","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","117747900","4932100","112815800","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-2","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","116637900","5004703","111633197","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-3","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","118834199","5323199","113511000","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-4","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","125077801","5768201","119309600","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-5","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","118403200","5809600","112593600","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-6","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","119238200","5350102","113888098","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-7","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","119373600","5290401","114083199","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-8","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","120485300","5553001","114932299","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-9","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","145373999","7476604","137897395","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-10","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","119992700","5491296","114501404","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-11","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","122321400","5812802","116508598","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-12","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","122412200","5281198","117131002","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-13","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","118163299","5532402","112630897","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-14","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","116560400","5456197","111104203","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-15","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","120359000","5500799","114858201","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-16","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","118993099","5328602","113664497","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-17","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","121696199","5176498","116519701","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-18","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","120249100","5201800","115047300","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-19","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","117934801","5146399","112788402","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-20","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","119305300","5378300","113927000","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-21","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","124832200","5051501","119780699","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-22","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","117546700","5125997","112420703","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-23","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","117122801","5408702","111714099","12","23","23","23","22"
"real-factories-depth2-branchcontrol-run-24","real-factories-depth2-branchcontrol","default","research.RealDispatchBenchmarks.factoriesDepth2BranchControl","118073700","6293098","111780602","12","23","23","23","22"
